id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
800,Clear,clear sky,01d,stations,10000,1746087258,19800,Mathura,200,77.6721,27.5035,39.13,36.99,39.13,39.13,1006,15,1006,986,4.32,118,2.84,0,IN,1746058211,1746105749,0,0,2025-05-01 08:14:18
800,Clear,clear sky,01d,stations,10000,1746087046,19800,Meerut,200,77.7062,28.9769,37.1,35.71,37.1,37.1,1007,21,1007,981,4.23,123,2.95,6,IN,1746058075,1746105868,0,0,2025-05-01 08:10:46
801,Clouds,few clouds,02d,stations,10000,1746087061,19800,Mirzapur,200,82.5732,25.1377,39.2,37.29,39.2,39.2,1006,16,1006,993,2.8,58,2.47,18,IN,1746057232,1746104375,0,0,2025-05-01 08:11:01
802,Clouds,scattered clouds,03d,stations,10000,1746087258,19800,Moradabad,200,78.7768,28.8389,38.4,36.74,38.4,38.4,1007,18,1007,985,4.94,139,4.03,32,IN,1746057830,1746105599,0,0,2025-05-01 08:14:18
802,Clouds,scattered clouds,03d,stations,10000,1746087258,19800,Muzaffarnagar,200,77.7033,29.4709,38.14,36.42,38.14,38.14,1007,18,1007,979,4.99,137,2.86,46,IN,1746058032,1746105912,0,0,2025-05-01 08:14:18
803,Clouds,broken clouds,04d,stations,10000,1746087258,19800,Pilibhit,200,79.8044,28.6312,37.62,35.79,37.62,37.62,1008,18,1008,985,4.12,139,4.16,77,IN,1746057602,1746105334,0,0,2025-05-01 08:14:18
800,Clear,clear sky,01d,stations,10000,1746087258,19800,Saharanpur,200,77.5452,29.9679,38.01,36.26,38.01,38.01,1007,18,1007,976,4.17,120,3.05,0,IN,1746058026,1746105995,0,0,2025-05-01 08:14:18
800,Clear,clear sky,01d,stations,10000,1746087259,19800,Khairabad,200,80.7509,27.5988,38.08,36.99,38.08,38.08,1007,21,1007,991,5.93,117,5.45,5,IN,1746057464,1746105018,0,0,2025-05-01 08:14:19
800,Clear,clear sky,01d,stations,10000,1746087259,19800,Shahjahanpur,200,79.8793,27.8741,38.15,36.43,38.15,38.15,1007,18,1007,990,5.1,120,4.83,6,IN,1746057650,1746105250,0,0,2025-05-01 08:14:19
800,Clear,clear sky,01d,stations,10000,1746087259,19800,Etawah,200,79.0149,26.7582,39.2,37.51,39.2,39.2,1006,17,1006,990,4.65,99,3.52,0,IN,1746057952,1746105363,0,0,2025-05-01 08:14:19
